id;nombre;fechaRegistro;estadoReg
1;ESTANCIAS;23/01/2026 11:13;A
2;CONSULTAS;23/01/2026 11:13;A
3;PROCEDIMIENTOS QX;23/01/2026 11:13;A
4;PROCEDIMIENTOS NO QX;23/01/2026 11:13;A
5;HONORARIOS;23/01/2026 11:13;A
6;MEDICAMENTOS;23/01/2026 11:13;A
9;DERECHOS DE SALA;23/01/2026 11:13;A
10;OXIGENO;23/01/2026 11:13;A
12;HOJA DE GASTOS HEMODINAMIA;23/01/2026 11:13;A
16;INSUMOS MEDICOS;23/01/2026 11:13;A
8;APOYO TERAPEUTICO;23/01/2026 11:13;A
13;HOJA DE GASTOS QX;23/01/2026 11:13;A
7;AYUDAS DIAGNOSTICAS;23/01/2026 11:13;A
11;MATERIAL QX Y/O MATERIAL ESPEC;23/01/2026 11:13;A
14;LABORATORIO;23/01/2026 11:13;A
17;OTROS CONCEPTOS;23/01/2026 11:13;A
15;BANCO DE SANGRE;23/01/2026 11:13;A
