id;nombre;nomenclatura;logo;estadoReg
1;HISTORIA CLINICA;HCLI;/IMG/HISTORIACLINICA.JPG;A
2;CITAS MEDICAS;CITA;;A
4;ADMISIONES;ADMI;/IMG/ADMISIONESFINAL.JPG;A
5;ENFERMERIA;ENFE;/IMG/ENFERMERIA.JPG;A
6;CUENTAS MEDICAS;CUEN;;A
7;TRIAGE;TRIA;/IMG/TRIAGE.JPG;A
9;COMPRAS;COMP;;A
10;INVENTARIOS;INVE;;A
12;SEGURIDAD;SEGU;;A
13;PARAMETRIZACION;PARA;;A
14;REPORTES;REP;/img/REPORTES.JPG;A
15;AUTORIZACIONES;AUTH;/IMG/AUTORIZACIONES.JPG;A
16;TARIFAS;TARIFAS;/img/FACTURACION.JPG;A
3;FACTURACION;FACT;/img/FACTURACIONFINAL.JPG;A
19;CONTRATACION;CONTRATACION;/img/FACTURACIONFINAL.JPG;A
20;RIPS;RIPS;/img/icons8-documento-67.PNG;A
22;CIRUGIA;CIR;/img/CIRUGIAFINAL.jpg;A
8;FARMACIA;FARM;/img/FARMACIAFINAL.JPG;A
17;APOYO TERAPEUTICO;APOYO TERAPEUTICO;/IMG/UCIFINAL2.JPG;A
11;APOYO TERAPEUTICO;APOY;/IMG/UCIFINAL.JPG;A
23;CARTERA;CART;/img/COMERCIALFINAL.JPG;A
24;REPORTES;REPORTES;/img/PDF1.JPG;A
21;GLOSAS;GLOSAS/ NC / ND;/img/GLOSAS.JPG;A
