id;codigo;nombre
1;1;DEMANDA ESPONTANEA
2;2;DERIVADO DE CONSULTA EXTERNA
3;3;DERIVADO DE URGENCIAS
4;4;DERIVADO DE HOSPITALZACION
5;5;DERIVADO DE SALA DE CIRUGIA
6;6;DERIVADO DE SALA DE PARTOS
7;7;RECIEN NACIDO EN LA INSTITUCION
8;8;RECIEN NACIDO EN OTRA INSTITUCION
9;9;DERIVADO O REFERIDO DE HOSPITALIZACION DOMICILIARIA
10;10;DERIVADO DE ATENCION DOMICILIARIA
11;11;DERIVADO DE TELEMEDICINA
12;12;DERIVADO DE JORNADA  DE SALUD
13;13;REFERIDO DE OTRA INSTITUCION
14;14;CONTRAREFERIDO DE OTRA INSTITUCION
