id;nombre;fechaRegistro;estadoReg;dependenciaTipo_id;sedesClinica_id;ubicaciones_id
1;ADMISIONES;2/05/2025 3:41;A;5;1;1
2;FACTURACION;2/05/2025 3:41;A;5;1;2
3;GLOSAS;2/05/2025 3:41;A;5;1;3
4;TRIAGE;2/05/2025 3:41;A;5;1;4
5;SALAS D CIRUGIA;2/05/2025 3:42;A;1;1;5
6;ALMACEN;2/05/2025 3:42;A;4;1;6
7;FARMACIA;2/05/2025 3:42;A;4;1;7
8;ADMISIONES;2/05/2025 7:32;A;5;2;8
9;FACTURACION;2/05/2025 7:32;A;5;2;9
11;TRIAGE;2/05/2025 7:37;A;5;2;10
12;OFICINA XX;2/05/2025 9:55;A;5;2;2
13;cirugia SEGUNDO PISO ORIENTAL;6/05/2025 2:32;A;5;1;3
15;CIRUGIA SEGUNDO PISO OCCIDENTAL;6/05/2025 2:33;A;1;1;5
14;cirugia SEGUNDO PISO NORTE;6/05/2025 2:32;A;1;1;5
16;cirugia SEGUNDO PISO SUR;6/05/2025 2:34;A;1;1;5
17;VIRUGIA PRIMER PISO SUR;6/05/2025 2:34;A;1;2;5
18;CIRUGIA PRIMER PISO CENTRAL;6/05/2025 2:34;A;1;2;5
19;ENFERMERIA;30/07/2025 2:40;A;5;1;4
20;ENFERMERIA;30/07/2025 2:40;A;5;1;4
21;ENFERMERIA;30/07/2025 2:41;A;5;1;4
23;BODEGA DE FARMACIA;30/07/2025 2:42;A;4;1;5
22;FARMACIA;30/07/2025 2:42;A;4;1;4
24;PUNTO  DE FACTURACION;12/09/2025 9:16;A;5;1;4
25;PUNTO PARA ADMISIONAR;12/09/2025 9:16;A;5;1;4
26;PUNTO DE FARMACIA;12/09/2025 9:16;A;5;1;4
27;PUNTO DE ALMACEN;12/09/2025 9:17;A;5;1;4
28;QUINTO PISO;12/09/2025 9:53;A;5;1;4
