id;nombre;nombreGenerico;fraccion;unidadFraccion;vence;control;antibiotico;pos;facturable;stockMinimo;stockMaximo;maxOrdenar;estabilidad;invFarmacia;invAlmacen;enfermeria;terapia;nutricion;cantidad;cums;regSanitario;altoCosto;vrCompra;vrUltimaCompra;codigoAtc;infusion;tipoAdministracion;regulado;vaorRegulado;observaciones;sispro;oncologico;ortesis;epiHigiene;controlStock;AnatoPos;magistralControl;genericoPos;fechaRegistro;estadoReg;concentracion_id;concepto_id;grupo_id;subGrupo_id;tipoSuministro_id;unidadMedida_id;viaAdministracion_id;principioActivo_id;descripcionComercial;fechaExpedicion;fechaVencimiento;registroSanitario;ripsCums_id;ripsDci_id;ripsFormaFarmaceutica_id;ripsTipoMedicamento_id;ripsUnidadDispensa_id;ripsUnidadMedida_id;tipoHonorario_id;cantidadUvr;ripsUnidadUpr_id;requiereAutorizacion
17635;ALCOHOL ANTISEPTICO;ALCOHOL ANTISEPTICO;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;12772-3;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO POR 500 ML..;10/23/2024;10/23/2024;M-005515;2;1;1;1;1;1;1;0;1;N
17653;CREMA ANTIPANALITIS.;CREMA ANTIPANALITIS.;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19907244-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA PLaSTICA POR 15 G;10/23/2024;10/23/2024;INVIMA M-14428;2;1;1;1;1;1;1;0;1;N
17654;CREMA ANTIPANALITIS.;CREMA ANTIPANALITIS.;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19907244-9;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO PLASTICO POR 450 G;10/23/2024;10/23/2024;INVIMA M-14428;2;1;1;1;1;1;1;0;1;N
17655;REQUELAR;REQUELAR;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19933217-2;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA PLEGADIZA X 14 TABLETAS EN BLISTER PVCALUMINIO.;10/23/2024;10/23/2024;INVIMA 2003M-0002372;2;1;1;1;1;1;1;0;1;N
17656;FEDRILATO GOTAS;FEDRILATO GOTAS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19908975-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO GOTERO X 10ML;10/23/2024;10/23/2024;INVIMA FE-014594;2;1;1;1;1;1;1;0;1;N
17657;CAPD  DPCA 4;CAPD  DPCA 4;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19927203-2;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;BOLSA DE PVC POR 2000 ML;10/23/2024;10/23/2024;INVIMA 2012M-0001120-R1;2;1;1;1;1;1;1;0;1;N
17658;AGUA BIDESTILADA.;AGUA BIDESTILADA.;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19909406-9;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 50 AMPOLLAS DE 5 ML.;10/23/2024;10/23/2024;INVIMA M-14662;2;1;1;1;1;1;1;0;1;N
17659;NUCLEO- EQUIPO MEBROFENIN SN;NUCLEO- EQUIPO MEBROFENIN SN;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19906019-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;ESUCHE X 6 NUCLEO- EQUIPOS;10/23/2024;10/23/2024;INVIMA M-14320;2;1;1;1;1;1;1;0;1;N
17660;SABRO POLVO;SABRO POLVO;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1990916-2;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 50 SOBRES;10/23/2024;10/23/2024;INVIMA M-13910;2;1;1;1;1;1;1;0;1;N
17661;AGUA BIDESTILADA.;AGUA BIDESTILADA.;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19909406-10;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 50 AMPOLLAS DE 10 ML.;10/23/2024;10/23/2024;INVIMA M-14662;2;1;1;1;1;1;1;0;1;N
