id;homologado;smldv;fechaRegistro;estadoReg;grupoQx_id;tiposHonorarios_id;tiposTarifaProducto_id;usuarioRegistro_id
1;39000;293;NULL;A;2;1;1;NULL
2;39001;357;NULL;A;3;1;1;NULL
3;39002;431;NULL;A;4;1;1;NULL
4;393021;433;NULL;A;5;1;1;NULL
6;39302112;412;NULL;A;5;3;1;NULL
5;39302111;427;NULL;A;5;2;1;NULL
7;233333;712;NULL;A;23;1;1;NULL
8;7,14;756;NULL;A;23;2;1;NULL
9;789898;780;NULL;A;23;3;1;NULL
10;121212;656;NULL;A;23;5;1;NULL
11;3930233;565;NULL;A;12;1;1;NULL
12;3930299;678;NULL;A;12;2;1;NULL
13;43434;400;NULL;A;12;3;1;NULL
