id;homologado;desdeUvr;hastaUvr;valor;fechaRegistro;estadoReg;tipoHonorario_id;tiposSala_id;tiposTarifaProducto_id;usuarioRegistro_id
1;S55101;0;20;3100000;NULL;A;1;1;2;NULL
2;S55102;21;30;3200500;NULL;A;1;1;2;NULL
3;S55103;31;40;3311000;NULL;A;1;1;2;NULL
4;S55114;0;999;2427000;NULL;A;1;3;2;NULL
5;S55115;0;999;1035000;NULL;A;1;4;2;NULL
6;S55101;1;20;3100000;NULL;A;5;5;2;NULL
7;S55102;21;30;3200500;NULL;A;5;1;2;NULL
39;S55102;21;30;3200500;NULL;A;5;5;2;NULL
40;S55103;31;40;3311000;NULL;A;5;1;2;NULL
41;S55103;31;40;3311000;NULL;A;5;5;2;NULL
42;S55104;41;50;4530500;NULL;A;5;1;2;NULL
43;S55104;41;50;4530500;NULL;A;5;5;2;NULL
44;S55105;51;60;5741000;NULL;A;5;1;2;NULL
45;S55105;51;60;5741900;NULL;A;5;5;2;NULL
46;S55106;61;70;8231500;NULL;A;5;1;2;NULL
47;S55106;61;70;8232500;NULL;A;5;5;2;NULL
48;S55107;71;80;8861000;NULL;A;5;1;2;NULL
49;S55107;71;80;8861000;NULL;A;5;5;2;NULL
50;S55108;81;90;9501500;NULL;A;5;1;2;NULL
51;S55108;81;90;9501500;NULL;A;5;5;2;NULL
52;S55109;91;100;10920500;NULL;A;5;1;2;NULL
53;S55109;91;100;10920500;NULL;A;5;5;2;NULL
54;S55110;101;110;12331000;NULL;A;5;1;2;NULL
55;S55110;101;110;12331000;NULL;A;5;5;2;NULL
56;S55111;111;130;13111500;NULL;A;5;1;1;NULL
57;S55111;111;130;13111500;NULL;A;5;5;2;NULL
58;S55112;131;150;14012000;NULL;A;5;1;2;NULL
59;S55112;131;150;14012000;NULL;A;5;5;2;NULL
60;S55113;151;170;15291000;NULL;A;5;1;2;NULL
61;S55113;151;170;15291000;NULL;A;5;5;2;NULL
63;S55114;1;100;2427000;NULL;A;5;3;2;NULL
64;S55115;1;999;1035000;NULL;A;5;4;2;NULL
62;S55114;1;999;2427000;NULL;A;5;2;2;NULL
