id;homologado;desdeUvr;hastaUvr;valor;fechaRegistro;estadoReg;tipoHonorario_id;tiposSala_id;tiposTarifaProducto_id;usuarioRegistro_id
1;S23101;0;20;1289000;NULL;A;5;1;1;NULL
2;S23102;21;30;2679000;NULL;A;5;1;1;NULL
3;S23201;31;40;4427000;NULL;A;5;1;1;NULL
4;S23202;41;50;5560500;NULL;A;5;1;1;NULL
5;S23203;51;60;8117500;NULL;A;5;1;1;NULL
6;S23204;61;70;9652000;NULL;A;5;1;1;NULL
7;S23205;71;80;11483000;NULL;A;5;1;1;NULL
8;S23301;81;90;12965500;NULL;A;5;1;1;NULL
14;S23302;91;100;14464500;NULL;A;6;1;1;NULL
15;S23303;101;110;14854500;NULL;A;6;1;1;NULL
16;S23304;111;130;15307500;NULL;A;6;1;1;NULL
17;S23305;131;150;18641000;NULL;A;6;1;1;NULL
18;S23306;151;170;20470000;NULL;A;6;1;1;NULL
19;S23307;171;200;24697000;NULL;A;6;1;1;NULL
20;S23308;201;230;27940500;NULL;A;6;1;1;NULL
21;S23309;231;260;31825500;NULL;A;6;1;1;NULL
22;S23310;261;290;35645500;NULL;A;6;1;1;NULL
23;S23311;291;320;40101500;NULL;A;6;1;1;NULL
24;S23312;321;350;44556000;NULL;A;6;1;1;NULL
25;S23313;351;380;47101500;NULL;A;6;1;1;NULL
26;S23314;381;410;50346000;NULL;A;6;1;1;NULL
27;S23315;411;450;54802000;NULL;A;6;1;1;NULL
9;S22201;0;20;644500;NULL;A;5;2;1;NULL
10;S22202;21;30;1340000;NULL;A;5;2;1;NULL
11;S22203;31;40;2239500;NULL;A;5;2;1;NULL
28;S22204;41;50;2780000;NULL;A;6;2;1;NULL
29;S22205;51;60;4059000;NULL;A;6;2;1;NULL
30;S22206;61;70;4826000;NULL;A;6;2;1;NULL
31;S22207;71;80;5741500;NULL;A;6;2;1;NULL
32;S22208;81;90;6483000;NULL;A;6;2;1;NULL
33;S22209;91;100;7232500;NULL;A;6;2;1;NULL
34;S22210;101;110;7427500;NULL;A;6;2;1;NULL
35;S22211;111;130;7654000;NULL;A;6;2;1;NULL
36;S22212;131;150;9321000;NULL;A;6;2;1;NULL
37;S22213;151;170;10235000;NULL;A;6;2;1;NULL
38;S22214;171;200;12348500;NULL;A;6;2;1;NULL
12;S22226;31;40;1791500;NULL;A;5;3;1;NULL
13;S22225;21;30;1072000;NULL;A;5;3;1;NULL
39;S22224;1;20;516000;NULL;A;6;3;1;NULL
40;S22227;41;50;2224000;NULL;A;6;3;1;NULL
41;S22228;51;60;3247000;NULL;A;6;3;1;NULL
42;S22229;61;70;3860500;NULL;A;6;3;1;NULL
43;S22230;71;80;4593000;NULL;A;6;3;1;NULL
44;S22231;81;90;5186500;NULL;A;6;3;1;NULL
45;S22232;91;100;5785500;NULL;A;6;3;1;NULL
46;S22233;101;110;5942000;NULL;A;6;3;1;NULL
47;S22234;111;130;6123000;NULL;A;6;3;1;NULL
48;S22235;131;150;7456500;NULL;A;6;3;1;NULL
49;S22236;151;170;8188000;NULL;A;6;3;1;NULL
50;S22237;171;200;9878500;NULL;A;6;3;1;NULL
51;S22104;1;20;322500;NULL;A;6;4;1;NULL
52;S22105;21;30;669500;NULL;A;6;4;1;NULL
53;S22106;31;40;1106500;NULL;A;6;4;1;NULL
54;S22107;41;50;1390000;NULL;A;6;4;1;NULL
55;S22108;51;60;2029500;NULL;A;6;4;1;NULL
56;S22109;61;70;2413000;NULL;A;6;4;1;NULL
57;S22110;71;80;2870500;NULL;A;6;4;1;NULL
58;S22111;81;90;3241500;NULL;A;6;4;1;NULL
59;S22112;91;100;3616000;NULL;A;6;4;1;NULL
60;S22113;101;110;3713500;NULL;A;6;4;1;NULL
61;S22114;111;130;3827000;NULL;A;6;4;1;NULL
62;S22115;131;150;4660000;NULL;A;6;4;1;NULL
